source,target,version,fromRole,toRole
wallet.WalletActivity,wallet.Application,2011-03-26-bitcoin-wallet-0739f762da6005db447c8f5feffca65a8c7480f2,Interfacer,Information Holder
wallet.Service,wallet.Application,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Information Holder
wallet.Service,wallet.Service$LocalBinder,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Information Holder
wallet.Service$LocalBinder,wallet.Service,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Information Holder,Interfacer
wallet.WalletActivity,wallet.Application,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Information Holder
wallet.WalletActivity,wallet.Service,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Interfacer
wallet.AbstractWalletActivity,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Structurer,Interfacer
wallet.AbstractWalletActivity,wallet.util.ActionBarFragment,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Structurer,Interfacer
wallet.AddressBookActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Structurer
wallet.AddressBookProvider,wallet.AddressBookProvider$Helper,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Service Provider
wallet.AddressBookProvider$Helper,wallet.AddressBookProvider,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Service Provider
wallet.AmountCalculatorFragment,wallet.AmountCalculatorFragment$Listener,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Service Provider
wallet.AmountCalculatorFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.AmountCalculatorFragment$Listener,wallet.AmountCalculatorFragment,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Interfacer
wallet.BitcoinURI,wallet.BitcoinURI$ParseException,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Information Holder,Information Holder
wallet.BitcoinURI$ParseException,wallet.BitcoinURI,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Information Holder,Information Holder
wallet.CurrencyAmountView,wallet.CurrencyAmountView$Listener,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Service Provider
wallet.CurrencyAmountView,wallet.CurrencyAmountView$TextViewListener,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Service Provider
wallet.CurrencyAmountView,wallet.CurrencyCodeDrawable,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Information Holder
wallet.CurrencyAmountView$Listener,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Interfacer
wallet.CurrencyAmountView$TextViewListener,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Interfacer
wallet.ExchangeRatesFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.RequestCoinsActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Coordinator,Structurer
wallet.RequestCoinsFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.RequestCoinsFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Structurer
wallet.SendCoinsFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsFragment,wallet.CurrencyAmountView$Listener,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Service Provider
wallet.SendCoinsFragment,wallet.SendCoinsFragment$AutoCompleteAdapter,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Service Provider
