id,name,parent,version
k9,k9,,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.activity,activity,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.activity.setup,setup,k9.activity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.controller,controller,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.crypto,crypto,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.helper,helper,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.helper.power,power,k9.helper,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail,mail,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail.filter,filter,k9.mail,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail.internet,internet,k9.mail,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail.store,store,k9.mail,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail.transport,transport,k9.mail,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.mail.transport.imap,imap,k9.mail.transport,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.preferences,preferences,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.provider,provider,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.remotecontrol,remotecontrol,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.service,service,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9.view,view,k9,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59
k9,k9,,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.activity,activity,k9,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.activity.setup,setup,k9.activity,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.controller,controller,k9,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.crypto,crypto,k9,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.helper,helper,k9,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.helper.power,power,k9.helper,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
k9.mail,mail,k9,2011-05-02-k9-42987cee512c4d52fb72f2bdc05bf7f5ea89f186
