source,target,version,fromRole,toRole
k9.Account,k9.AccountStats,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.Identity,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.NotificationSetting,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.Account,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.Account,k9.crypto.CryptoProvider,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.Account,k9.mail.Address,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
k9.Account,k9.mail.Store,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.Account,k9.view.ColorChip,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.EmailAddressAdapter,k9.helper.Contacts,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Service Provider,Information Holder
k9.K9,k9.FontSizes,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Coordinator,Information Holder
k9.Preferences,k9.Account,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Information Holder
k9.Preferences,k9.preferences.Storage,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Structurer,Structurer
k9.SearchAccount,k9.BaseAccount,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Information Holder
k9.SearchAccount,k9.Preferences,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Structurer
k9.SearchAccount,k9.SearchSpecification,2011-02-02-k9-f75c1073111790fb396e1d9e6d476a13d565ea59,Information Holder,Service Provider
