source,target,version,fromRole,toRole
wallet.WalletActivity,wallet.Application,2011-03-26-bitcoin-wallet-0739f762da6005db447c8f5feffca65a8c7480f2,Interfacer,Information Holder
wallet.Service,wallet.Application,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Information Holder
wallet.WalletActivity,wallet.Application,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Information Holder
wallet.WalletActivity,wallet.Service,2011-07-02-bitcoin-wallet-33d1e8946a6356686916b124770725f52b4bb8fc,Interfacer,Interfacer
wallet.AbstractWalletActivity,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Structurer,Interfacer
wallet.AbstractWalletActivity,wallet.util.ActionBarFragment,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Structurer,Interfacer
wallet.AddressBookActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Service Provider,Structurer
wallet.AmountCalculatorFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.CurrencyAmountView,wallet.CurrencyCodeDrawable,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Information Holder
wallet.ExchangeRatesFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.RequestCoinsActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Coordinator,Structurer
wallet.RequestCoinsFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.RequestCoinsFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Structurer
wallet.SendCoinsFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.SendCoinsFragment,wallet.Service,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.Service,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.TransactionActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Structurer
wallet.WalletActivity,wallet.AbstractWalletActivity,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Structurer
wallet.WalletAddressFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.WalletAddressesFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.WalletBalanceFragment,wallet.Application,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.WalletBalanceFragment,wallet.CurrencyAmountView,2012-01-01-bitcoin-wallet-b419a9f80a007c9b805aa581d8125d751aeb2011,Interfacer,Interfacer
wallet.DetermineFirstSeenThread,wallet.Constants,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Coordinator,Information Holder
wallet.DetermineFirstSeenThread,wallet.util.IOUtils,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Coordinator,Service Provider
wallet.DetermineFirstSeenThread,wallet.util.Iso8601Format,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Coordinator,Service Provider
wallet.service.BlockchainService,wallet.WalletApplication,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Interfacer,Interfacer
wallet.ui.AbstractWalletActivity,wallet.WalletApplication,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Structurer,Interfacer
wallet.ui.AbstractWalletActivity,wallet.util.ActionBarFragment,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Structurer,Interfacer
wallet.ui.AddressBookActivity,wallet.ui.AbstractWalletActivity,2012-04-02-bitcoin-wallet-fe59b121d241ec50bd366e35231fd316f249a365,Interfacer,Structurer
